Data,Feedback,Perguntas,Sentimento
28/03/2020,Não,"Sobre o OpenTalk, com Robson del Fiol. Você tem críticas ou comentários sobre a atividade?",positivo
29/03/2020,"Eu indicaria ele abordar um tema novo, não só open talk pq tinham perguntas que eu já não estava mais por dentro do tema. ","Sobre o OpenTalk, com Robson del Fiol. Você tem críticas ou comentários sobre a atividade?",negativo
04/04/2020,As histórias que ele conta e a maneira como aborda são ótimas.,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Adorei as coisas que ele falou, foi muuuito legal e acrescentou mt",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Só agradecimento, cada vez que falo com o Sérgio fico mais feliz. Pessoa e profissional incrível.",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,Sérgio é aquela pessoa que a gente quer ficar ouvindo e trocando ideia por horas. Suas histórias me inspirou e também a metodologia de como encontrar meu propósito vai me ajudar muito.,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Acredito que poderia ter um open talk todo sábado com o Sérgio. Além de ter uma grande história, o seu jeito pra contar o que viveu é incrível!",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Acho muito bom ouvir o Sergio, cada conversa é uma inspiração diferente ",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"O Sérgio é muito divertido e as suas histórias MUITO inspiradores. Novamente, ele trouxe um ânimo para nós corremos atrás do que queremos e, iniciando os trabalhos do dia, trouxe muita empolgação!",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"O Sérgio na minha percepção é a personificação do propósito e de fazer aquilo que ama, ele me inspira em ser uma pessoa bem sucedida fazendo o que ama.",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,Seria interessante fazer uma tarefa durante a semana para gerar mais dúvidas para ele.,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],negativo
04/04/2020,Eu colocaria mais pro final do dia os open talk única dica. De resto o open talk foi maravilhoso!!,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],negativo
04/04/2020,"Foi excelente, acho que poderiamos ter umas 3hs de Open Talk na próxima. E espero pelo encontro presencial depois que a Pandemia passar.   ;)",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Infelizmente não consegui participar, estava com problemas no acesso quando consegui entrar na reunião o Sérgio já estava se despedindo. ",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Cara, o Open Talk foi muito muito bom. Para mim, foi um dos melhores momentos do sábado. Espero que possa ter o encontro presencial com ele. As histórias dele são muito boas, e ele vai nos passando a mensagem de um jeito muito leve e fácil de ir assimilando.",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,Não tenho críticas. Adoro as participações do Sérgio.,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,Tudo ok.,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Esses bate-papos com exemplos e histórias são incríveis, pois a gente aprende muito com a experiência de pessoas como o Sérgio.",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,Não,Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Sergio é uma inspiração,tem uma bagagem de experiência enorme. mais uma vez amei!",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"   Eu já tinha uma expectativa alta em relação a participação do Sérgio, em razão da ultima palestra no Ceo. De forma geral, acho que o modo Open Talk favoreceu bastante a troca e interação entre o Sérgio e a turma,  pois trouxe mais flexibilidade para a gente explorar questões mais abertas da trajetória da vida dele e sobre a temática propósito. De forma mais subjetiva, eu particularmente me senti bem conectada durante a reunião,  não só com o tema, mas pela a forma como ele aborda a mesma, essa forma bastante pessoal e sem medo de mostrar as vulnerabilidades passadas e presentes, com certeza cria a verdade necessária para que eu aqui do outro lado sinta muita de vontade de por as dicas e conselhos em prática. Então para mim foi bastante enriquecedor mesmo!",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Se possível, vamos marcar um open talk pessoalmente! A bagagem do Sérgio é incrível.",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Adoro o Sérgio e o modo que ele nos envolve em suas experiências de vida, de forma que nos inspira a sair da zona de conforto e encontrar nosso propósito ",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
04/04/2020,"Não tenho críticas, o Sérgio proporciona ótimas interações e experiências que agregam muito valor.",Sobre a palestra do Caê: Liderança Pessoal [CONTEÚDO apresentado no tema],positivo
18/04/2020,No item “capacidade de prender a atenção” eu não dei nota máxima devido à dificuldade da palestrante com o Zoom. Mas é totalmente compreensível que esteja se familiarizando.,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,negativo
18/04/2020,A palestra foi muito boa! Porém seria muito mais legal se tivéssemos abordado temas da economia nos dias de hoje.,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,negativo
18/04/2020,Acho que falta esclarecer estratégias financeiras para projetos.,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,negativo
18/04/2020,"Não soube respeitar o tempo estabelecido, prejudicando a atividade seguinte.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,negativo
18/04/2020,"Adorei a palestra, foi ótima, um tema novo pra mim que me motivou e me agragou muito para ser ""rica""!! hahahaha Dica que eu daria é deixar as dúvidas pro final da apresentação. ",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,negativo
18/04/2020,"Eu achei ela tão dinâmica e foi tão gostoso que nem deu para perceber que ela tinha passado do horário hahaha genial, aprendi muito e é um tema que eu acho super relevante. Espero que volte mais vezes! ",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Educação financeira é um assunto do qual eu sou totalmente leiga.
 Hoje consegui ter uma visão totalmente diferente sobre poupar, que não é apenas guardar dinheiro e sim direciona-lo para os fundos corretos, nunca tinha imaginado um fundo de reservas voltado para invalidez! 
A única certeza que temos é que o mundo está sempre passando por mudanças, e tudo pode acontecer, precisamos estar preparados para as oportunidades e surpresas que vierem a acontecer. 
O dinheiro é apenas um facilitador e quando é utilizado de forma consciente conseguimos alcanças nossos objetivos e realizar sonhos.   
",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Assunto extremamente importante para os nossos dias, uma vez que o país passa por uma escassez de educação financeira no país e é um problema que resulta em inúmeros outros com uma infinidade de consequências.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,Foi muito boa! Adorei e me deu várias ideias.,Sobre as atividades do VimVer. O quanto você recomendaria para outro aluno? (Só coloque ZERO se você não participou),positivo
18/04/2020,Domina muito bem o assunto e repassa para os alunos de uma força fácil de entender,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Gostei muito da parte prática com o uso da planilha, assim pudemos aplicar alguns conceitos que ela explicou no início",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,Não,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Palestra Excelente, acho que o tema renderia mais discussão. Mas foi importantissimo e uma grande oportunidade.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
